critics_reviews_count,description,developer,genre,genre_tags,link,maturity_rating,metascore,platform,publisher,release_date,title,user_reviews_count,user_score
12,"Experience the reality of officer life in the Warring States period, and watch with your own eyes the fighting that brought the end of an era.",Koei Tecmo Games,PlayStation 4 Strategy Games,Strategy,http://www.metacritic.com/game/playstation-4/nobunagas-ambition-sphere-of-influence---ascension,T,74,PlayStation 4,Koei Tecmo Games,2016-10-25,Nobunaga's Ambition: Sphere of Influence - Ascension,9,74
5,"Angry Birds Star Wars has player use the Force, wield their Lightsaber, and blast away Pigtroopers on an intergalactic journey from the deserts of Tatooine to the depths of the Pig Star.",Exient Entertainment,PlayStation 4 Strategy Games,Strategy,http://www.metacritic.com/game/playstation-4/angry-birds-star-wars,E,47,PlayStation 4,Activision,2013-11-15,Angry Birds Star Wars,89,20
53,"Need for Speed Rivals inserts gamers behind the wheel of both sides of the thin blue line, daring them to cross that line as either a cop or racer in order to gain any advantage in the street’s ultimate rivalry. Players decide between two distinct career experiences, each with its own set of high-stakes challenges, rewards, pursuit tech and cars. The intensity of the action is enhanced as a result of AllDrive, a feature that destroys the line between single player, co-op and multiplayer. Through AllDrive, friends are connected to one racing world where their races and chases can collide at any time.",Ghost Games,PlayStation 4 Racing Games,Driving,http://www.metacritic.com/game/playstation-4/need-for-speed-rivals,E10+,80,PlayStation 4,Electronic Arts,2013-11-15,Need for Speed: Rivals,709,63
13,"Anima Gate of Memories is a third person action RPG in which the player will explore a vast world filled with dangers and wonders. In it you take control of two characters who are trap in a war in the shadows, a secret conflict that will engulf the world into chaos.","Edge Entertainment, Anima Project",PlayStation 4 Role-Playing Games,Role-Playing,http://www.metacritic.com/game/playstation-4/anima-gate-of-memories,T,52,PlayStation 4,Edge Entertainment,2016-06-07,Anima: Gate of Memories,38,75
21,The traditional Gauntlet 4-player co-op gameplay returns in a new experience. Assume the role of one of 4 unique heroes in a monster-filled dungeon brawler. Battle the interminable hordes of enemies as you and your cohorts fight for treasure and glory via both local and online co-op multiplayer.,Arrowhead Game Studios,PlayStation 4 Role-Playing Games,Role-Playing,http://www.metacritic.com/game/playstation-4/gauntlet-slayer-edition,M,71,PlayStation 4,Warner Bros. Interactive Entertainment,2015-08-11,Gauntlet: Slayer Edition,97,69
30,"Based on the light novel, manga and anime, Sword Art Online: Hollow Fragment captures the characters and storyline of the SAO universe – a series of virtual-reality worlds set in the near future. Players enter the VR worlds of SAO and discover that the creator of the game has locked the players inside these worlds. To escape these worlds, players must explore and defeat the enemies contained within. Continuing to fight is key inside the VR world – if you die in the fantasy world, your character will die in real life. [Namco Bandai]","Namco Bandai Games, Bandai Namco Games",PlayStation 4 Role-Playing Games,Role-Playing,http://www.metacritic.com/game/playstation-4/sword-art-online-re-hollow-fragment,T,65,PlayStation 4,Namco Bandai Games,2015-07-28,Sword Art Online Re: Hollow Fragment,70,74
5,"In Dragon Age: Inquisition - The Descent, you will venture deep below the surface to discover the source of mysterious earthquakes threatening Thedas.",BioWare,PlayStation 4 Role-Playing Games,Role-Playing,http://www.metacritic.com/game/playstation-4/dragon-age-inquisition---the-descent,NA,63,PlayStation 4,BioWare,2015-08-11,Dragon Age: Inquisition - The Descent,32,56
35,"Assetto Corsa is designed to provide a very realistic driving experience, with single player and multiplayer options, officially licensed cars and tracks developed using Laser scan technology, and the highest level of accuracy possible in reproducing real world motor racing environments. Also, Assetto Corsa allows for considerable customisation and modification, in order to satisfy the expectations of professional simracers, gamers who prefer to approach the driving experience more progressively, and hobbyists who just like to collect lots of cars and tracks.",Kunos Simulazioni,PlayStation 4 Simulation Games,Racing,http://www.metacritic.com/game/playstation-4/assetto-corsa,E,73,PlayStation 4,505 Games,2016-08-30,Assetto Corsa,85,62
8,"Gameplay modes include Race, Challenges, Season, Chase, Online, and Career. In Career, customize your own NASCAR Sprint Cup Series driver. From the high banks of Talladega to the tight turns in Martinsville, each of the 23 licensed NASCAR tracks have been recreated in conjunction with track owners. NASCAR Heat Evolution offers 43 different drivers from the most popular race teams including Stewart-Haas Racing, Joe Gibbs Racing, Hendrick Motorsports, Team Penske, Chip Ganassi, and others.","Monster Games Inc., Dusenberry Martin Racing",PlayStation 4 Simulation Games,Racing,http://www.metacritic.com/game/playstation-4/nascar-heat-evolution,E,66,PlayStation 4,Dusenberry Martin Racing,2016-09-13,NASCAR Heat Evolution,25,46
49,"The tale of Armageddon is about to be told... In the world of Erion, the magical kingdom of Valentine held an enormous power. The ""Cauldron"" -- the source of this great power-- Maintained the kingdom's prosperity. However, Valentine suffered a sudden, mysterious downfall. And so the neighboring kingdoms clashed over the now-masterless Cauldron.",Vanillaware,PlayStation 4 Role-Playing Games,Role-Playing,http://www.metacritic.com/game/playstation-4/odin-sphere-leifthrasir,T,87,PlayStation 4,Atlus,2016-06-07,Odin Sphere Leifthrasir,214,83
9,You are a solar-powered craft. The sun is your death timer. Hurtle towards the sunset at breakneck speed in a futile race against time.,Flippfly,PlayStation 4 Racing Games,Action,http://www.metacritic.com/game/playstation-4/race-the-sun,E,76,PlayStation 4,Flippfly,2014-10-21,Race the Sun,80,60
6,"In DC Universe Online, players will be thrust headlong into an action-packed online world based on the heroes, villains and landmarks of the DC Universe. In the game, players step into the role of the next legendary superhero or villain and are given the choice to save or conquer the universe online. Along the way, players will be fighting alongside or against iconic DC characters as well as other players for the fate of the DC Universe.",WBIE,PlayStation 4 Role-Playing Games,Role-Playing,http://www.metacritic.com/game/playstation-4/dc-universe-online,T,75,PlayStation 4,Sony Online Entertainment,2013-11-15,DC Universe Online,155,64
6,"Assume the role of a professional rider competing in the “Grande Boucle”. Immerse yourself in this virtual challenge and experience the high-octane adrenaline and thrills of the greatest champions in the sport today. Select one of the official teams participating in the Tour and embark on a fabulous Tour de France 2015 that will take you through Holland and the cobbled routes of Northern France, to the summits of the mythical climbs and the legendary final on the Champs-Elysées. [Focus Home]",Cyanide,PlayStation 4 Racing Games,Sports,http://www.metacritic.com/game/playstation-4/tour-de-france-2015,E,63,PlayStation 4,Focus Home Interactive,2015-06-23,Tour de France 2015,11,48
14,"Sixty riders, sixty bikes, fourteen tracks and rules from the official MX1 and MX2 2013 FIM Motocross World Championship.",Milestone S.r.l,PlayStation 4 Racing Games,Driving,http://www.metacritic.com/game/playstation-4/mxgp-the-official-motocross-videogame,E,66,PlayStation 4,Bandai Namco Games,2014-11-18,MXGP: The Official Motocross Videogame,13,62
