critics_reviews_count,description,developer,genre,genre_tags,link,maturity_rating,metascore,platform,publisher,release_date,title,user_reviews_count,user_score
45,"Let your imagination go bananas with Zoo Tycoon. Build your dream zoo alone or with up to 4 of your friends on Xbox LIVE, choosing from over 100 visually stunning animals and a large, detailed selection of environments. Become a member of the community by uploading your creation to the cloud and working together with other Tycoons to care for and share your animals. With intuitive, easy-to-use controls and Kinect-enabled features that allow your animals to recognize your voice and react to your movements, this zoo simulation will charm animal lovers of all ages.",Frontier Developments,Xbox One Strategy Games,Tycoon,http://www.metacritic.com/game/xbox-one/zoo-tycoon,E,68,Xbox One,Microsoft Game Studios,2013-11-22,Zoo Tycoon,317,32
4,"Join an epic adventure with the Angry Birds in the legendary Star Wars universe, re-mastered for gaming systems! Use the Force, wield your Lightsaber, and blast away Pigtroopers on an intergalactic journey from the deserts of Tatooine to the depths of the Pig Star! Can you become a Jedi Master and restore freedom to the galaxy?",Exient Entertainment,Xbox One Strategy Games,Strategy,http://www.metacritic.com/game/xbox-one/angry-birds-star-wars,E,53,Xbox One,Activision,2013-11-22,Angry Birds Star Wars,63,69
5,"Saturday Morning RPG is an episodic role-playing game set in world heavily inspired by 1980s Saturday morning cartoons. Players take the role of Martin Marty Michael Hall, an average high-school student who has just been granted an incredible power. This power leads him to attract the ire of the worlds most notorious villain, Commander Hood.",Mighty Rabbit Studios,Xbox One Role-Playing Games,Role-Playing,http://www.metacritic.com/game/xbox-one/saturday-morning-rpg,E10+,74,Xbox One,Mighty Rabbit Studios,2016-10-26,Saturday Morning RPG,11,79
6,"Journey to the snowy world of Ariandel and encounter new areas, bosses, enemies, weapons, armor set, magic spells and more. Will you accept the challenge and embrace the darkness once more?",From Software,Xbox One Role-Playing Games,Role-Playing,http://www.metacritic.com/game/xbox-one/dark-souls-iii-ashes-of-ariandel,M,73,Xbox One,Bandai Namco Games,2016-10-25,Dark Souls III: Ashes of Ariandel,36,66
18,"Need for Speed Rivals inserts gamers behind the wheel of both sides of the thin blue line, daring them to cross that line as either a cop or racer in order to gain any advantage in the street’s ultimate rivalry. Players decide between two distinct career experiences, each with its own set of high-stakes challenges, rewards, pursuit tech and cars. The intensity of the action is enhanced as a result of AllDrive, a feature that destroys the line between single player, co-op and multiplayer. Through AllDrive, friends are connected to one racing world where their races and chases can collide at any time.",Ghost Games,Xbox One Simulation Games,Driving,http://www.metacritic.com/game/xbox-one/need-for-speed-rivals,E10+,75,Xbox One,Electronic Arts,2013-11-22,Need for Speed: Rivals,178,58
32,"Child of Light is a digital download, 2D side-scrolling role-playing game inspired by the art style of Studio Ghibli.",Ubisoft Montreal,Xbox One Role-Playing Games,Action,http://www.metacritic.com/game/xbox-one/child-of-light,E10+,82,Xbox One,Ubisoft,2014-04-30,Child of Light,253,76
9,"Mantis Burn Racing is an arcade style top-down racer with stunning visuals, a comprehensive single-player career mode, and a deep, RPG-style upgrade system. [VooFoo Studios]",VooFoo Studios,Xbox One Racing Games,Racing,http://www.metacritic.com/game/xbox-one/mantis-burn-racing,E,79,Xbox One,VooFoo Studios,2016-10-12,Mantis Burn Racing,11,80
4,"Intergalactic party racing mayhem! Obliteracers is an award-winning same-screen party racer for up to 16 players. Race brutal-cute aliens on exotic planets, using weapon powerups and physics-based vehicles to annihilate your competition in frantic round-based combat. Connect spare gamepads, laptops and smart devices as extra controllers. Stragglers will be eliminated... only one alien shall prevail!","Space Dust Studios, Varkian Empire",Xbox One Racing Games,Racing,http://www.metacritic.com/game/xbox-one/obliteracers,NA,61,Xbox One,Space Dust Studios,2016-08-26,Obliteracers,NA,NA
24,"Skyrim Special Edition brings the epic fantasy to life in detail. The Special Edition includes the game and add-ons with all-new features like remastered art and effects, volumetric god rays, dynamic depth of field, screen-space reflections, and more. Skyrim Special Edition also brings the full power of mods to the PC and Xbox One. New quests, environments, characters, dialogue, armor, weapons and more  with Mods, there are no limits to what you can experience.",Bethesda Game Studios,Xbox One Role-Playing Games,Role-Playing,http://www.metacritic.com/game/xbox-one/the-elder-scrolls-v-skyrim-special-edition,M,82,Xbox One,Bethesda Softworks,2016-10-28,The Elder Scrolls V: Skyrim Special Edition,165,69
15,"NBA 2K14 promises to raise the bar yet again, providing the best basketball gaming experience for legions of sports fans and gamers around the world.",Visual Concepts,Xbox One Sports Games,Sim,http://www.metacritic.com/game/xbox-one/nba-2k14,E,86,Xbox One,2K Sports,2013-11-12,NBA 2K14,184,57
